違約組,未違約組
0.158433858,0.02131366
0.098555761,0.022359072
0.067659777,0.056784231
0.040551352,0.001075161
0.058259098,0.049951404
0.181301874,0.00309565
0.015267132,0.058979585
0.030438394,0.012925415
0.129526327,0.048909502
0.048927443,0.037335538
0.199625084,0.053952774
0.116950923,0.015574037
0.067210794,0.001080845
0.152936957,0.008509785
0.054115042,0.004714978
0.00620413,0.006455638
0.047036158,0.00095042
0.053243555,0.024839221
0.081177833,0.119159468
0.065477251,0.001617357
0.161626432,0.014082686
0.134633437,0.018184622
0.183682233,0.000963746
0.037033009,0.042149038
0.045568143,0.026627878
0.231516972,0.016449116
0.081960805,0.000239289
0.070594,0.002555278
0.333715925,0.002955499
0.025952305,0.088768791
0.029954373,0.013448764
0.050426497,0.030554979
0.039437932,0.143281667
0.0932018,0.003512266
0.055844584,0.013248782
0.019882124,0.006726082
0.03965606,0.147470247
0.048517359,0.017009451
0.089458895,0.003946265
0.042842678,0.022119431
0.023768418,0.050204849
0.038678167,0.002432174
0.017487259,0.081360307
0.046222897,0.012411857
0.142009812,0.028528591
0.008112827,0.004204703
0.149438308,0.019398973
0.011537962,0.001069835
0.006888013,0.003723143
0.140130424,0.008595575
0.232560583,0.001382857
0.124866408,0.077553123
0.093596864,0.02289231
0.163930233,0.010024067
0.112895265,0.090878592
0.022249849,0.011059057
0.116659961,0.006503423
0.177322124,0.027989978
0.055758424,0.131281396
0.064580287,0.026878888
0.043529978,0.003512881
0.031008134,0.029894485
0.052606138,0.003915483
0.0412057,0.011991218
0.217060378,0.010299511
0.106745957,0.000302764
0.011478258,0.034642028
0.0253869,0.078567317
0.320036065,0.004033126
0.130310771,0.080824599
0.056551454,0.000293787
0.037054206,0.011864125
0.055824398,0.034041747
0.076963215,0.000872377
0.04217273,0.009953501
0.019396253,0.021486945
0.048122856,0.000904661
0.011335464,0.0010247
0.089617802,0.000958824
0.085020665,0.000533803
0.02969892,0.009433742
0.012696637,0.020942925
0.024645487,0.047078367
0.190812592,0.000442206
0.046713041,0.001787593
0.019492636,0.023995049
0.048474276,0.020665612
0.188860951,0.003280509
0.070090519,0.001622456
0.043904313,0.002607202
0.058708339,0.005630103
0.03681124,0.00060694
0.012324615,0.044188476
0.004451615,0.002221392
0.126045428,0.116888407
0.033450524,0.006464196
0.114635164,0.003783092
0.08922364,0.021292288
0.097865987,0.03186776
0.134887726,0.003653377
0.021319095,0.000425037
0.102427644,0.01728084
0.06004481,0.009753245
0.025965856,0.011077545
0.032642333,0.003419972
0.031523435,0.000510709
0.104743954,0.022176238
0.344082015,0.003038097
0.05585051,0.034753285
0.241670641,0.030508605
0.026810284,0.000523428
0.168295647,0.000785351
0.018401736,0.04037192
0.032393075,0.003444311
0.026477986,0.011701155
0.094982286,0.046023689
0.079674318,0.002644641
0.029589196,0.001884219
0.096645764,0.054138407
0.009529502,0.001430271
0.229544802,0.002061726
0.037387155,0.005970746
0.056973423,0.003111738
0.086224685,0.035985592
0.122103724,0.00059678
0.089062021,0.00328366
0.066747807,0.023380453
0.425864573,0.004824499
0.077176464,0.137858194
0.056873234,0.027387592
0.147216155,0.009396995
0.023756957,0.00304322
0.108852384,0.134943029
0.117566535,0.049154324
0.03801913,0.002366525
0.044741984,0.013739759
0.051278893,0.003585996
0.024202266,0.017424734
0.070300759,0.050596576
0.039215346,0.00664129
0.09664717,0.008040108
0.035284706,0.003887702
0.064780044,0.000756164
0.227668765,0.001009726
0.058789135,0.001186158
0.074914873,0.029798827
0.010497708,0.002627432
0.096835645,0.000365461
0.063898576,0.02285782
0.106978933,0.000265709
0.017953538,0.002870866
0.051916739,0.033218448
0.180249575,0.001954076
0.097960272,0.000555249
0.089130358,0.004074983
0.043228623,0.004133613
0.040019348,0.081354182
0.067467754,0.005018312
0.026942625,0.004616881
0.080427842,0.000704891
0.054480938,0.001160334
0.008893436,0.005953352
0.037955272,0.000381994
0.067709178,0.073139275
0.074219229,0.28015419
0.028943469,0.010034521
0.030503263,0.002656784
0.042569167,0.108519419
0.077565364,0.004217124
0.01966271,0.226573765
0.018249664,0.001455259
0.065180443,0.000527844
0.109015004,0.009333492
0.009187938,0.013761175
0.169432177,0.008920395
0.030665164,0.010750385
0.023471289,0.000425244
0.048387747,0.004743824
0.066038137,0.006552191
0.005249073,0.018204246
0.066683521,0.03972718
0.208016418,0.021603431
0.062217848,0.004778976
0.246823491,0.000625706
0.195857579,0.030396781
0.363958139,0.057543857
0.206616779,0.004439925
0.076011179,0.03475032
0.003581528,0.003664775
0.020458781,0.02825484
0.017522482,0.012652185
0.074386669,0.002874326
0.040884165,0.013604643
0.141988259,0.001768964
0.135690537,0.005446482
0.010499496,0.032068619
0.034501169,0.006788021
0.069347114,0.003887534
0.01335928,0.003271369
0.040208946,0.033421218
0.052256194,0.110908572
0.12829252,0.001491275
0.056065933,0.004229148
0.066050446,0.009191344
0.054853675,0.094998765
0.431926701,0.080599449
0.232922323,0.105709278
0.119036251,0.006603717
0.07204055,0.086569091
0.042191012,0.001231139
0.023642917,0.011183296
0.050363943,0.062120871
0.009083091,0.004733104
0.06240464,0.012968113
0.056922916,0.000787287
0.047051223,0.058922952
0.066200555,0.014528652
0.032342125,0.002659376
0.023126668,0.001485905
0.02373279,0.000474553
0.112356554,0.141745493
0.013192187,0.014737724
0.006639936,0.294614312
0.019027617,0.006794819
0.037583355,0.017292223
0.164982685,0.000671985
0.045746189,0.001846472
0.101881407,0.000826684
0.268384434,0.001801871
0.082783711,0.006277787
0.022058141,0.099936178
0.01497207,0.007782273
0.145339601,0.004902399
0.029126243,0.009646184
0.01792653,0.042017784
0.175263463,0.028527475
0.133631736,0.023892308
0.123093786,0.065494104
0.069408846,0.031348247
0.072658952,0.003028116
0.054170422,0.009908299
0.032125098,0.007352185
0.071223782,0.006410381
0.019252806,0.068712215
0.182655737,0.007306299
0.025536472,0.011992011
0.07670917,0.014700869
0.065771835,0.000239734
0.151776085,0.008624804
0.126057862,0.000872659
0.11689114,0.007535673
0.028734619,0.00691538
0.030866798,0.00114197
0.074747182,0.05261828
0.221336685,0.015177348
0.017380686,0.001164993
0.118740229,0.011692101
0.205961781,0.007546738
0.058566787,0.014129314
0.064028604,0.083874004
0.030843958,0.000660044
0.22874546,0.015606885
0.026428455,0.000918109
0.084803181,0.001536859
0.223105461,0.009935568
0.093236899,0.011091323
0.036345431,0.005708188
0.00784013,0.003848858
0.04592953,0.001713271
0.131240668,0.017031809
0.031663698,0.02896187
0.071185037,0.002904307
0.081078825,0.059492955
0.035697207,0.023729928
0.165102513,0.130268653
0.013169695,0.024413925
0.124685305,0.022187447
0.031538889,0.001584019
0.094951814,0.016735137
0.246123044,0.009624137
0.037415771,0.000633218
0.032805925,0.013890747
0.111500031,0.052593292
0.078083222,0.030506981
0.146207531,0.0078655
0.196186264,0.050784869
0.06969804,0.012969902
0.012368559,0.031721738
0.085867456,0.002855143
0.064971795,0.051332206
0.038990869,0.008105364
0.020045459,0.001066706
0.274735318,0.09466915
0.060766679,0.000512623
0.01503764,0.000687952
0.034553712,0.015539587
0.037439034,0.003612448
0.163567303,0.090095184
0.041477934,0.01494305
0.092385797,0.022400312
0.083221078,0.099065197
0.01026589,0.212899998
0.106127828,0.008754077
0.055038632,0.015495921
0.213146411,0.000927431
0.048864407,0.002648159
0.094709489,0.005410761
0.015380688,0.004417146
0.327124582,0.024998841
0.042342889,0.035632818
0.02551883,0.042417026
0.031520427,0.066746362
0.016039071,0.000393773
0.030037226,0.152526045
0.014745365,0.000911333
0.06616455,0.004496119
0.049865738,0.002828084
0.014839888,0.017534122
0.051488195,0.002586207
0.11411798,0.015089061
0.119354523,0.004271879
0.056062944,0.006021947
0.019503282,0.017851462
0.043029441,0.045037269
0.032961294,0.008488045
0.050762369,0.027201977
0.033926102,0.002988998
0.108039412,0.003606432
0.07423813,0.03814271
0.023215718,0.00275784
0.039458028,0.000826513
0.013691899,0.009754192
0.144708307,0.013636573
0.304952492,0.001982177
0.032844329,0.00407848
0.272302008,0.000682699
0.287014586,0.006988427
0.058684244,0.105487859
0.018789868,0.013171051
0.061992731,0.009359124
0.067171162,0.002018946
0.016633054,0.02053911
0.010179242,0.001512215
0.085387459,0.000303469
0.499397679,0.007948478
0.017430212,0.038732421
0.253335432,0.008247835
0.012108321,0.003356249
0.057259687,0.080610525
0.01353116,0.001296607
0.287146277,0.006275775
0.067723329,0.014433721
0.162296014,0.04499104
0.098831969,0.038726953
0.117558605,0.009756381
0.045504882,0.000939252
0.073808304,0.00264543
0.01895974,0.021715671
0.087571115,0.06431148
0.105002717,0.012787609
0.071004537,0.048778761
0.51462988,0.003710739
0.009323476,0.005512764
0.023607887,0.009799122
0.046008535,0.08684684
0.073134636,0.005594058
0.186799598,0.001425295
0.014735386,0.00133606
0.013093048,0.054580588
0.080997895,0.003791522
0.147061191,0.063599189
0.055435506,0.022644445
0.024538652,0.105714124
0.058336062,0.013569681
0.061255559,0.003455232
0.053493396,0.00439196
0.206020482,0.046085016
0.046276739,0.031777414
0.082032562,0.001885948
0.052818087,0.01823929
0.082202964,0.00205787
0.043224206,0.017949486
0.046628941,0.010711306
0.031283557,0.002763498
0.162455296,0.001380329
0.037125231,0.018244865
0.107198071,0.002579641
0.12620511,0.2516332
0.039169019,0.008693622
0.038861671,0.068565254
0.158450048,0.076749476
0.048424579,0.007205326
0.03238203,0.003309301
0.195739719,0.008235657
0.2926474,0.00309024
0.139412775,0.000553632
0.123162115,0.001505578
0.13521222,0.091075369
0.054680796,0.011161282
0.084639347,0.052493061
0.080011847,0.004348135
0.017647833,0.002696311
0.110731186,0.024424877
0.278854473,0.088098684
0.249984121,0.134727885
0.191058911,0.100632889
0.121996679,0.00221486
0.082244125,0.010099075
0.052190884,0.016503095
0.157341115,0.017167155
0.10261584,0.006757729
0.197156756,0.000350466
0.041977441,0.122967222
0.027808798,0.013483207
0.111773669,0.003361775
0.034770145,0.027658832
0.104970264,0.004771717
0.067774905,0.030761894
0.242830934,0.021276251
0.082369067,0.061127902
0.149209495,0.000214632
0.139157367,0.00319614
0.126849795,0.022958081
0.026963162,0.007872982
0.079734105,0.024469524
0.088199022,0.111424762
0.038201308,0.125783901
0.023442295,0.017596317
0.060716839,0.012502313
0.074851316,0.031790762
0.026773602,0.004872765
0.152108344,0.00155737
0.021590144,0.007215904
0.164788829,0.032843932
0.02656477,0.03757831
0.048049439,0.013478232
0.106902499,0.081595855
0.095013598,0.009702911
0.113768583,0.030798985
0.018573945,0.00373206
0.087931714,0.006828928
0.17306376,0.108093837
0.038688569,0.000857621
0.008255895,0.172147004
0.089625812,0.003299203
0.035771971,0.001472543
0.05426146,0.004594753
0.046638211,0.027337783
0.009235751,0.034066448
0.043355943,0.001136255
0.079513749,0.033647723
0.09789806,0.001989277
0.123243895,0.024013237
0.078981565,0.002420633
0.071895123,0.065113863
0.125371171,0.04368289
0.021955111,0.003495222
0.023217507,0.005075067
0.225088957,0.010142355
0.032305504,0.024202421
0.08066207,0.105537658
0.072331136,0.002303103
0.064591086,0.022553117
0.030774391,0.043647067
0.140905244,0.003477135
0.06816149,0.298045728
0.04629564,0.011231925
0.085564618,0.032442592
0.327667974,0.039964139
0.031641444,0.015602878
0.368277428,0.002575231
0.01395301,0.005096814
0.045932278,0.000151252
0.167417249,0.012124178
0.054919532,0.001447737
0.033701768,0.004618518
0.081852556,0.215871496
0.013286711,0.003532571
0.02286607,0.000710732
0.054597583,0.055968036
0.035702879,0.031027416
0.055970043,0.006715367
0.206872974,0.005959101
0.038137887,0.008335318
0.011441082,0.137332417
0.025375903,0.024667041
0.007853638,0.004405612
0.008122349,0.000563827
0.1653277,0.007028547
0.064562575,0.003297291
0.079907729,0.002444466
0.028914266,0.022695505
0.036905069,0.008417969
0.160786861,0.016981339
0.027799281,0.063988694
0.08628438,0.002047721
0.160104794,0.004332747
0.021435355,0.012761742
0.222868854,0.001848752
0.052988277,0.0010514
0.060988978,0.058063376
0.225803635,0.000265127
0.241044375,0.003798029
0.136287655,0.009994147
0.025789979,0.042579795
0.257305372,0.004178035
0.238769229,0.001924272
0.056893125,0.006637157
0.08806908,0.008304762
0.093480089,0.013642943
0.348100597,0.049834995
0.167918997,0.001995499
0.073976395,0.004120355
0.034765491,0.007380648
0.119308389,0.003037988
0.0891109,0.023200269
0.086544558,0.318081342
0.103928007,0.034508697
0.010510952,0.00470535
0.130276529,0.001940641
0.094642558,0.009182966
0.107324427,0.010899381
0.140945231,0.030062573
0.060573921,0.001333338
0.025972853,0.006230955
0.044789371,0.001463069
0.015696655,0.050340819
0.09772608,0.004640605
0.148908693,0.009534864
0.265254834,0.006904331
0.01465249,0.005988412
0.113432623,0.001213431
0.061007832,0.046110524
0.168477181,0.001905064
0.135902267,0.004212815
0.015496951,0.081138166
0.090187256,0.00259091
0.052748443,0.001722902
0.141162494,0.046278924
0.068231219,0.001419243
0.087171962,0.00151694
0.034397458,0.020502598
0.013253428,0.004110619
0.18169782,0.001903582
0.014384093,0.00653688
0.024707278,0.066350357
0.137938407,0.004007023
0.110302825,0.006148538
0.009024058,0.000627649
0.10735876,0.002011503
0.08283195,0.017614387
0.066984183,0.001360158
0.155188943,0.003653541
0.093362179,0.056038849
0.027110724,0.018342469
0.03763104,0.001563159
0.052322099,0.002143541
0.2178769,0.283343299
0.117187575,0.101172268
0.013213465,0.218589002
0.032931662,0.065748686
0.224879796,0.007606051
0.399999985,0.005026509
0.094229111,0.071943814
0.027232638,0.266048113
0.109870035,0.028278591
0.0642737,0.0019151
0.014187251,0.014042678
0.364774263,0.007859533
0.017732577,0.030908179
0.148743299,0.003880741
0.017355959,0.013997417
0.079298505,0.020534307
0.083602509,0.044072242
0.015566001,0.010147821
0.053047666,0.00201324
0.19024495,0.028715604
0.092606882,0.00934462
0.046560174,0.000173638
0.0437295,0.002113586
0.020030717,0.004683315
0.061078159,0.012822659
0.022718346,0.111449498
0.042414959,0.022119328
0.050825752,0.00729055
0.061676319,0.033367136
0.170354203,0.000820944
0.29918056,0.000221027
0.041448725,0.001058665
0.06932426,0.009848298
0.040103678,0.006355801
0.046393444,0.017486681
0.096480604,0.002159451
